,0,1,2
10,"Story highlights John Kasich comforts the mother of an autistic son during a town hall at George Mason University on Monday

The mother emotionally voiced her concerns about how her son could live happily and independently with few resources available for autistic adults

Kasich addressed the woman's concern after inviting her on stage and putting his arm around her

(CNN) Republican presidential candidate John Kasich struck an emotional chord Monday with the mother of an autistic son during a town hall at George Mason University.

The mother tearfully voiced her concerns to the Ohio governor about how her son could live happily and independently with few resources available for autistic adults.

Kasich addressed the woman's situation after inviting her on stage and putting his arm around her.

READ: What John Kasich's hug tells us about his character

""When you hear these things, you can't put your head in the sand. We have to figure out how to fix it,"" Kasich said.

Read More",2016-02-22 00:00:00,[Julia Manchester]
11,"Uh-oh! It could be you, or it could be us, but there's no page here.

Search",2016-02-23 00:00:00,[]
12,"Univision is embarking on a new effort to register its Hispanic viewers and encourage them to vote in the presidential election.

The ""Vote For Your America"" initiative, to be announced Tuesday, could have far-reaching consequences. Univision, the biggest Spanish language broadcaster in the United States, is a trusted brand in millions of Hispanic homes.

The campaign will entail ads on TV and radio, editorials, voter registration drives, other local events, and a bilingual texting messaging tool. A new online voter guide will be established at YourAmerica.com.

""If you don't"" vote, ""someone else will,"" the site says. ""And you might not like who they're voting for. Vote for your ideals. Vote for your future. Vote for Your America.""

The effort will simultaneously sign up new eligible voters and make sure past voters return to the polls. Randy Falco, Univision's CEO, said in a statement that the goal is ""mobilizing the 27 million eligible Hispanic voters in the 2016 general election.""

The New York Times, which first reported on the initiative, said Univision wants to sign up ""about 3 million"" new voters, roughly the same number who are newly eligible since the 2012 election.

Univision says it is not telling its viewers who to vote for. But some Republicans are likely to view the new effort skeptically for a number of reasons.

Among them: Hispanics disproportionately vote for Democrats. One of Univision's main owners, Haim Saban, is a well-known backer of Hillary Clinton. And one of Univision's top anchors, Jorge Ramos, has publicly tussled with Donald Trump.

Related: What really happened between Ramos and Trump

Ramos has said he is simply representing his audience, which is deeply concerned about anti-immigration rhetoric.

Separately, Trump sued Univision last summer after the network canceled the telecast of his Miss USA pageant. The two sides recently settled the litigation. Ramos and Trump's representatives are now talking about a possible interview.

Related: Trump says he'll do an interview with Ramos

Falco said in a statement that the new voter campaign is about equipping ""Hispanic citizens"" with the nonpartisan information they need to participate in the political process. Its partners include the National Council of La Raza, Voto Latino, and Rock the Vote, among many others.

Univision's various television networks and web sites will promote registration deadlines and election days. The efforts ""will include voter registration drives, citizenship workshops, town hall meetings, countdowns to the primaries on-air, social media influencer outreach and community call centers, where viewers can get answers to their election-related questions each month,"" the company said.",2016-02-22 00:00:00,[Brian Stelter]
13,"Story highlights Rep. James Clyburn told NewsOne Now that Sanders' free college plan would hurt HBCUs

""If you say that you're going to have college -- free two-year college -- among public institutions, why would a student go to an HBCU?"" said Clyburn

(CNN) South Carolina Congressman James Clyburn, who recently endorsed Hillary Clinton for president, told NewsOne Now in a phone interview that rival Bernie Sanders' free public college plan would hurt Historically Black Colleges and Universities (HBCUs).

""If you say that you're going to have college -- free two-year college -- among public institutions, why would a student go to an HBCU? And most of which are private institutions,"" said Clyburn. ""What will happen is these HBCUs will all close down all across America because they would not be able to afford to stay open.""

The Sanders campaign did not immediately respond to a CNN request for comment.

Will #BernieSanders' Education Plan Hurt #HBCUs? Rep. @Clyburn says #Sanders plan may shut many down. #NewsOneNowhttps://t.co/0vp0W03nm4 — rolandsmartin (@rolandsmartin) February 22, 2016

HBCUs account for less than 3% of all of the universities and colleges in the U.S., but produce 22% of bachelor's degrees earned by African-Americans, according to the Thurgood Marshall College Fund, a national organization that supports HBCUs. HBCUs are already facing serious economic difficulties due to low enrollment and tighter PLUS loan requirements that were passed by the Department of Education in 2011, according to the fund.

PLUS loans declined substantially at HBCUs in 2012 and 2013, according to the Institute of Education Sciences. That same year, enrollment also declined dramatically.

Read More",2016-02-22 00:00:00,[Ashley Young]
14,"A huge merger looks set to reshape Europe's stock exchanges.

German market operator Deutsche Boerse (DBOEF) wants to join forces with the London Stock Exchange (LDNXF), the companies said Tuesday.

They described the proposed transaction as a ""merger of equals,"" but Deutsche Boerse shareholders would end up owning more than 54% in the new company.

Shares in the London Stock Exchange soared by as much as 20% after the announcement and Deutsche Boerse shares jumped by about 9%.

The combined exchanges would have more heft to compete against the New York Stock Exchange operator, Intercontinental Exchange (ICE), which also owns markets in Belgium, France, the Netherlands, Portugal and the U.K. through its Euronext business.

Shares in Intercontinental Exchange were dipping by about 1.5% Tuesday.

Based on U.K. rules, Deutsche Boerse will have to make a formal offer by March 22 or walk away from the deal.

The exchanges have been here before: the LSE rejected an offer from its German rival over a decade ago.",2016-02-23 00:00:00,[Alanna Petroff]
15,"(CNN) The most important numbers coming out of South Carolina's GOP primary on Saturday night weren't the 32.5% of the vote Donald Trump won, or that he was 10 points ahead of rivals Marco Rubio and Ted Cruz.

They are 50 -- the number of delegates Trump won. And zero -- the number won by anyone else.

Trump's second primary win put him easily in first in the Republican race with 68 delegates, compared to Cruz's 11 and Rubio's nine, according to CNN's delegate estimate. It's still a fraction of the 1,237 delegates needed to win the nomination. Another 30 delegates are up for grabs Tuesday in Nevada's caucuses.

Headed into Super Tuesday, the remaining campaigns are both buoyed and afraid of the reality when it comes to the delegate count: A Republican could win the nomination simply through hanging into late March. The math and upcoming calendar also could end someone's chances quickly, even if they've performed well up to now. That's why Rubio and John Kasich, vying for the establishment and more moderate vote, are likely to try and stick around. And why Cruz needs to do well in the Southern states coming up soon.

""As quick as you can go down in this cycle, you can go back up,"" said Kevin Madden, a Republican strategist, veteran of the Romney campaigns and CNN commentator.

Madden knows difficult primaries: He said he and his Romney 2012 colleagues printed t-shirts and hats that read, ""The Long Slog: The Road to 1,144,"" referring to the delegate total needed to win that year.

Complicating things, as he has all year, is Trump, whose strong campaign has tapped into frustrated and disaffected Americans' concerns. Should he keep winning, it's no problem. But should the race become muddled, it's possible no candidate gets to the magic number needed before the GOP convention in July.

Victory won't come quickly

Some rules put in place by the Republican National Committee prolong the process. All states voting before March 15 must award their delegates proportionally -- meaning that in theory a winning candidate could only pick up a few more delegates than his challenger.

In South Carolina, for instance, delegates were awarded by a combination of the state victory and by congressional district. But Trump won state-wide, and also in each district, so he got all 50 delegates. For all their effort, Rubio and Cruz, who won 22.5% and 22.3%, respectively, got zero delegates, something Ben Carson, who finished last and has resisted calls to drop out, gleefully pointed out.

""Dr. Ben Carson stands as one of only five candidates remaining of the original 17, and received as many delegates in South Carolina as all other candidates but the winner,"" he said in a statement Saturday night.

Voting is also spread out over months, with no more than a handful of states voting concurrently. The biggest haul is Super Tuesday, March 1, when 13 states vote, but even if a candidate were to win every one of the 665 delegates at stake it would only be about half the total needed to win the nomination. (Of course, such a sweep would serve to effectively end the race, barring disaster.)

Cruz has stumped heavily in the South and has staked his campaign on doing well on Super Tuesday, with his home state of Texas and other Southern states voting. A failure to do so could seriously imperil his chances going forward.

""If you're sitting in Cruz headquarters you want to run up the score in the South and try to get enough of an advantage in the delegate count and cross your fingers that's enough to withstand some of these winner-take-all states,"" like Florida and Ohio, which vote March 15, said Josh Putnam, a University of Georgia political scientist and expert in delegate math.

Rubio, Kasich look ahead to mid-March

Rubio and Kasich, competing in the so-called establishment lane, need to hang in to reach those moderate states where they can, in theory, pull ahead late.

Kasich's campaign, for example, has said it is looking ahead to Michigan, which votes March 8 and has 59 delegates up for grabs proportionally unless someone reaches the 50% winner-take-all threshold. But experts caution against such a strategy — drawing comparisons to Rudy Giuliani in 2008 who banked on starting his campaign in Florida, only to have the race largely out of reach by the time voting got there.

As long as candidates can convince their donors they have a chance, they can continue campaigning, as evidenced in 2012, when Sheldon Adelson's announced $20 million through a Super PAC kept Newt Gingrich alive, paying for advertising the candidate didn't have to take care of himself.

Rubio talked about the delegate math with reporters in South Carolina earlier this month, saying his campaign was looking forward to March 15, when states become winner-take-all and the race will narrow.

""I don't know how long this is going to go. Who knows. Every prediction made about this race so far has been way off,"" Rubio said. ""We're prepared to go until the delegates are decided. ... I do think delegate counts matter more than ever before.""

With Jeb Bush out of the race, Rubio's hope to corral his support from donors and power brokers and survive got a boost -- but if Kasich stays in the race through mid-March, it could prove an anchor on Rubio's neck, keeping either of them from staying competitive with the front-runner.

Putnam predicts the race based on what he calls the 50-75 rule, that the candidate leading when about 50% of the delegates are allocated is usually the one to lock the race down by the time 75% have been doled out.

That means the candidate leading after March 15 will likely win -- by April 26.

Still, there is concern that a three-person race could muddy the waters to the point that no candidate clearly wins the nomination by the convention in July, which could lead to what's called a brokered convention. And the RNC requires that a nominee win a majority of delegates in at least eight states throughout the process.

""I think it could go almost all the way to after all 50 states have weighed in,"" said Doug Heye, a CNN commentator and veteran Republican operative who served on Capitol Hill and with the RNC.",2016-02-23 00:00:00,[Tal Kopan]
16,"Uh-oh! It could be you, or it could be us, but there's no page here.

Search",2016-02-23 00:00:00,[]
17,"Every president deserves an official portrait, even Frank Underwood.

The Smithsonian's National Portrait Gallery unveiled a new portrait of the evil ""House of Cards"" president on Monday night, the museum said in a press release.

The portrait of actor Kevin Spacey in his role as Underwood will hang in the museum, which ""houses the only complete collection of presidential portraits outside of the White House,"" the museum said.

Art imitated life even more so with Spacey arriving for the unveiling in character as President Underwood.

The debut of the artwork even had the same format as other presidential portrait unveiling by including the director of the gallery as well as some members of the White House press corps. They will then be invited to join invited guests watch the first episode of season four.

The portrait, a joint project between artist Jonathan Yeo and the museum, will hang in the gallery from February 24 through October.

Related: 'House of Cards' President Underwood makes appearance during GOP debate

""I'm pleased that the Smithsonian continues to prove itself as a worthwhile institution,"" Underwood ""said"" in a statement.

Spacey, the man who plays Underwood, added that it is ""a thrill to see Frank take his place among the presidents in this historic setting.""

The unveiling of the portrait comes just weeks before the fourth season of the Netflix show debuts on March 4.

It is the latest marketing ploy that mixes current politics and the Netflix drama. Underwood made an appearance in a commercial during a December Republican debate.

The series, which was Netflix's first original series, was renewed for a fifth season last month. However, it was announced that the creator of the series, Beau Willimon, would not be returning.",2016-02-22 00:00:00,[Frank Pallotta]
18,"Cairo (CNN) Family members of a 3-year-old Egyptian boy sentenced to life in prison last week say they feel relieved after receiving assurances from officials that neither the boy nor his father will be arrested.

The boy's father, Mansour Qorany Sharara, has returned to the family home in the southern Egyptian province of Fayyoum after nearly 18 months on the run. He had been avoiding authorities who had previously detained him when they came to arrest his young son.

In a surreal verdict, a military court last week found 3-year-old Ahmed Mansour Qorany Sharara -- and 115 others -- guilty of killing three people and sabotaging public and private property during a political demonstration in January 2014.

Ahmed was 16 months old at the time of the alleged crime.

READ: Author jailed for ""sexually explicit"" writings

The guilty verdict that came out on February 16 caused an uproar.

""How could people trust justice if they see this?"" TV presenter Wael Elebrashy asked as he interviewed the boy's father in a Cairo studio on Saturday.

Ahmed was sleeping as his father held him during the interview and cried, pleading for help. Sharara said he was worried his son would be imprisoned.

Father detained for months, driven to flee

Sharara had already suffered a great deal for the bizarre charges against his child.

When the police first came to arrest Ahmed in early 2014 and realized he was a toddler, they took his father into custody instead. Sharara was detained for four months before a judge released him.

Sharara has since spent nearly a year and a half on the run, evading authorities pursuing the case against the toddler, for fear he would be arrested, he told Elebrashy.

But in the wake of the public outrage over the case, officials gave assurances that neither father nor son would be arrested again.

JUST WATCHED Plane crash still hurting tourism in Egypt Replay More Videos ... MUST WATCH Plane crash still hurting tourism in Egypt 02:15

An aide to the interior minister phoned Elebrashy's show to say it was a case of mistaken identity. The aide, Gen. Abu Bakr Abdel Karim, promised that Ahmed and his father would not be jailed.

The military released a statement the following day saying the person wanted in the case was a 16-year-old with the same name as Ahmed, who had fled authorities.

The assurances did not completely allay the family's fears, however.

During Sharara's interview with Elebrashy, Ahmed's mother, Hemat Mostafa, phoned the TV station to say the police had just left their home after inquiring about Ahmed and his father.

""If it is true that it was a mistaken identity, why did they come to arrest the boy? Why haven't security arrested the right defendant then?"" lawyer Mahmoud Abu Kaf said to CNN.

Charges stem from pro-Morsy protest

11 photos: The 2013 trial of Mohamed Morsy 11 photos: The 2013 trial of Mohamed Morsy Supporters of deposed Egyptian President Mohamed Morsy protest his trial in front of the Supreme Constitutional Court in Cairo, Egypt, on November 4, 2013. Morsy, who was removed from office in a July 2013 coup, is charged with inciting violence over a constitution he shepherded into effect. Hide Caption 1 of 11 11 photos: The 2013 trial of Mohamed Morsy A Morsy supporter shouts at a police officer in Cairo. More than 100 pro-Morsy demonstrators faced a cordon of security forces behind barbed wire. Hide Caption 2 of 11 11 photos: The 2013 trial of Mohamed Morsy The demonstrators waved flags and chanted loudly against the military, which deposed Morsy. Morsy became Egypt's first freely elected president in 2012 after the overthrow of longtime strongman Hosni Mubarak. His detractors accused him of being a tyrant trying to impose conservative values, but his supporters say the coup was a power grab by the military and elements of the old Mubarak regime. Hide Caption 3 of 11 11 photos: The 2013 trial of Mohamed Morsy This image, made from video provided by Egypt's Interior Ministry, shows Morsy speaking from the defendant's cage as he stands with co-defendants during his hearing. ""I am Dr. Mohamed Morsy, the President of the republic,"" Morsy said. ""The coup is a crime and ... treason."" Hide Caption 4 of 11 11 photos: The 2013 trial of Mohamed Morsy A police officer stands guard behind barbed wire. Hide Caption 5 of 11 11 photos: The 2013 trial of Mohamed Morsy Morsy supporters raise a poster that reads ""no to the coup"" in Arabic. Hide Caption 6 of 11 11 photos: The 2013 trial of Mohamed Morsy A masked police officer stands guard outside of the police academy compound where Morsy's trial was held. Hide Caption 7 of 11 11 photos: The 2013 trial of Mohamed Morsy A Morsy supporter raises his hands in front of army soldiers guarding the Supreme Constitutional Court. Hide Caption 8 of 11 11 photos: The 2013 trial of Mohamed Morsy Protesters also chanted against Egypt's interim government. Hide Caption 9 of 11 11 photos: The 2013 trial of Mohamed Morsy Supporters of Morsy protest on a bridge in Cairo. Hide Caption 10 of 11 11 photos: The 2013 trial of Mohamed Morsy Egyptian military soldiers stand guard in Cairo the day before the trial began. Hide Caption 11 of 11

The charges at the heart of the matter stem from a protest by supporters of ousted President Mohamed Morsy that took place in January 2014 and ensuing clashes in Fayyoum, according to a statement by the Egyptian military.

The boy was sentenced along with 115 defendants -- all found guilty of killing three people and sabotaging public and private property.

Lawyers of other defendants in the case had shown the court Ahmed's birth certificate in hopes of discrediting the investigations that led to their clients' arrests.

""Security submitted their investigations 24 hours after the incident took place, naming 116 defendants,"" Abu Kaf told CNN.

""We wanted to tell the judge that these are invalid investigations and our proof is the inclusion of the child, and a man who was out of the country when the incident in question took place, among the defendants,"" he added.

READ: Court rejects Mubarak appeal bid

JUST WATCHED Egypt's red carpet controversy Replay More Videos ... MUST WATCH Egypt's red carpet controversy 01:36

Mass sentencing has become common in Egyptian civilian and military courts in the wake of the ousting of Morsy, drawing criticism from the U.N. and human rights groups.

In 2014, over a thousand people were sentenced to death in two cases involving the deaths of police officers during protests. The sentences were later reduced to life sentences for most of the defendants.

""Most cases involving big events are based on investigations and no tangible evidence. We've seen cases where defendants were either deceased years before the incident or in prison when it happened,"" Abu Kaf said.",2016-02-23 00:00:00,[Sarah El Sirgany Cnn]
19,"Sen. McCaskill announces she has breast cancer

How Gina Rodriguez gets out of speeding tickets

Morgan Freeman can now narrate your drive

What it would take to build Trump's border wall

Victim of Mexican violence speaks out

'The Bachelor' contestant Lex McAllister dead at 31

Contents stolen from wallet returned with a note

'Price is Right' contestant wins $120,000 car

Kanye is awesome, Kanye says

Americans consider leaving U.S. if Trump wins

Virgin Galactic to unveil new spaceship

Snake head found in can of green beans

Lindsey Vonn grabs hammer, destroys skis after wipe out

Obama is ok leaving office but this girl is apoplectic

This woman is how Hillary Clinton won Nevada

Giant panda takes a tumble in the snow

Lights go out on Donald Trump at rally

Kalamazoo Uber rider: 'You're not the shooter are you?'

Watch Donald Trump's 'cameo' in 'Game of Thrones'

Taylor Swift gives $250,000 to Kesha

Student responds to Kasich's 'women in kitchen' comment

Wife of 'El Chapo' gives first interview

A town saved by gold mostly likes Donald Trump

What's the story behind margaritas?

106-year-old fulfills dream, dances with the President

Former Miss America contestant dies after car wreck

John Kasich sorry for 'women in kitchens' comment

Is this Leonardo DiCaprio's twin?

From downtown Nairobi to its stunning national park, take a 60-second mini tour of Kenya's capital. Video filmed by Alex Lee.",2016-02-09 00:00:00,[]
20,"By Catherine Treyz, CNN

Virginia McLaurin waited all her life to see an African-American in the White House. So, when she finally got a chance to meet President Obama, the 106-year-old woman couldn't contain her excitement.",2016-02-22 00:00:00,[]
